S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
24,2025-01-21,285.00,285.00,280.00,281.00,-1.40,"29,055.00","8,184,569.90"
25,2025-01-20,288.10,289.80,284.00,285.00,-0.52,"19,577.00","5,593,474.50"
26,2025-01-19,280.00,287.00,275.10,286.50,0.95,"41,611.00","11,706,566.70"
27,2025-01-16,285.00,286.00,280.00,283.80,-0.60,"46,231.00","13,046,285.40"
28,2025-01-15,293.00,293.00,285.00,285.50,-2.86,"47,411.00","13,598,084.00"
29,2025-01-13,297.00,297.00,290.50,293.90,-0.81,"38,612.00","11,284,248.10"
30,2025-01-12,305.50,305.50,296.30,296.30,-1.92,"23,901.00","7,116,068.10"
31,2025-01-09,302.00,303.90,299.50,302.10,0.00,"47,238.00","14,199,169.10"
32,2025-01-08,309.00,309.00,300.00,302.10,-0.30,"27,123.00","8,216,170.60"
33,2025-01-07,299.00,304.90,299.00,303.00,-0.66,"23,953.00","7,254,800.90"
34,2025-01-06,301.00,305.00,300.00,305.00,0.99,"33,107.00","10,004,250.90"
35,2025-01-05,310.00,310.00,300.10,302.00,-1.31,"31,591.00","9,548,285.40"
36,2025-01-02,307.00,308.00,304.00,306.00,-0.36,"28,790.00","8,795,851.90"
37,2025-01-01,314.00,315.00,307.00,307.10,-2.20,"33,089.00","10,242,782.00"
38,2024-12-31,321.90,321.90,309.80,314.00,-3.14,"52,420.00","16,402,482.90"
39,2024-12-29,334.20,337.00,332.00,333.90,0.03,"105,485.00","35,314,898.30"
40,2024-12-26,323.40,335.00,322.00,333.80,2.11,"53,904.00","17,759,346.60"
41,2024-12-24,327.40,329.00,322.10,326.90,0.58,"24,396.00","7,956,093.70"
42,2024-12-23,321.00,326.00,318.00,325.00,0.56,"34,848.00","11,232,673.40"
43,2024-12-22,317.60,326.40,317.60,323.20,-0.25,"30,552.00","9,872,536.00"
44,2024-12-19,328.90,328.90,323.80,324.00,0.47,"99,471.00","32,378,691.10"
45,2024-12-18,321.00,324.90,321.00,322.50,0.16,"27,913.00","9,012,849.10"
46,2024-12-17,322.00,324.90,319.10,322.00,0.31,"38,502.00","12,430,122.20"
47,2024-12-16,333.00,333.00,320.00,321.00,-3.60,"72,485.00","23,480,331.90"
48,2024-12-12,342.70,342.70,329.00,333.00,-0.89,"27,811.00","9,272,861.50"
49,2024-12-11,330.00,336.00,323.00,336.00,1.51,"69,547.00","22,915,794.50"
50,2024-12-10,340.00,340.00,330.00,331.00,-2.36,"46,578.00","15,550,207.20"
51,2024-12-09,341.60,345.00,336.70,339.00,-0.64,"32,050.00","10,878,210.80"
52,2024-12-08,346.10,349.00,340.00,341.20,-2.23,"53,335.00","18,317,019.60"
53,2024-12-05,350.20,352.10,348.00,349.00,-0.85,"35,035.00","12,267,815.40"
54,2024-12-04,358.60,358.60,350.50,352.00,0.11,"38,930.00","13,710,860.50"
55,2024-12-03,354.00,354.00,350.20,351.60,-0.23,"33,741.00","11,881,557.60"
56,2024-12-02,359.90,359.90,351.20,352.40,-0.90,"47,343.00","16,725,839.30"
57,2024-12-01,367.20,367.20,350.00,355.60,-1.22,"43,405.00","15,422,350.80"
58,2024-11-28,358.00,361.00,356.00,360.00,0.56,"42,328.00","15,176,775.50"
59,2024-11-27,358.00,358.40,356.00,358.00,0.34,"38,927.00","13,908,128.50"
60,2024-11-26,358.90,358.90,351.00,356.80,1.39,"28,610.00","10,128,807.80"
61,2024-11-25,357.00,357.00,350.00,351.90,0.54,"32,139.00","11,298,876.70"
62,2024-11-24,359.00,359.00,350.00,350.00,-0.85,"41,256.00","14,533,107.20"
63,2024-11-21,357.00,359.00,352.70,353.00,-1.64,"55,719.00","19,742,115.60"
64,2024-11-20,365.00,365.00,353.00,358.90,-0.06,"26,760.00","9,557,312.80"
65,2024-11-19,360.00,365.00,359.00,359.10,-1.07,"65,017.00","23,467,311.90"
66,2024-11-17,366.00,370.90,361.00,363.00,-0.58,"72,913.00","26,511,770.10"
67,2024-11-14,367.00,371.40,365.00,365.10,-0.57,"46,503.00","17,077,353.20"
68,2024-11-13,375.00,375.00,364.00,367.20,-0.49,"34,318.00","12,612,880.70"
69,2024-11-12,377.00,377.00,369.00,369.00,-0.27,"62,383.00","23,141,590.50"
70,2024-11-11,369.00,375.90,369.00,370.00,0.03,"71,670.00","26,728,029.50"
71,2024-11-10,373.40,373.40,363.00,369.90,1.04,"58,328.00","21,462,792.60"
72,2024-11-06,369.50,369.50,363.10,366.10,-0.11,"32,031.00","11,716,757.30"
73,2024-11-05,371.00,376.00,366.20,366.50,-1.35,"31,483.00","11,626,714.30"
